[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_02261],[protein_id=CRY92963.1],[gene=minE],[protein=cell division topological specificity factor MinE],[locus_tag=PMM0320],[protein_id=CAE18779.1],[gene=minE],[protein=possible septum site-determining protein MinE],[evalue=7.73258E-41]
[locus_tag=SynWH8103_02262],[protein_id=CRY92964.1],[gene=None],"[protein=transcriptional regulator, LuxR family]",[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=7.13190E-09],[locus_tag=PMM0169],[protein_id=CAE18628.1],[gene=None],[protein=two-component response regulator],[evalue=1.29654E-06]
[locus_tag=SynWH8103_02265],[protein_id=CRY92966.1],[gene=tsaC],[protein=protein involved in the synthesis of threonylcarbamoyladenosine-modified tRNA],[locus_tag=PMM0319],[protein_id=CAE18778.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.69768E-44]
[locus_tag=SynWH8103_02266],[protein_id=CRY92967.1],[gene=prmC],"[protein=protein-(glutamine-N5) methyltransferase, release factor-specific]",[locus_tag=PMM0318],[protein_id=CAE18777.1],[gene=hemK],[protein=putative protein methyltransferase],[evalue=1.91284E-62]
[locus_tag=SynWH8103_02268],[protein_id=CRY92969.1],[gene=None],[protein=thioesterase superfamily protein],[locus_tag=PMM1012],[protein_id=CAE19471.1],[gene=None],[protein=4-hydroxybenzoyl-CoA thioesterase family active site],[evalue=1.35037E-29]
[locus_tag=None],[protein_id=CRY92971.1],[gene=psbM],[protein=photosystem II reaction center protein PsbM],[locus_tag=PMM0317],[protein_id=CAE18776.1],[gene=psbM],[protein=possible Photosystem II reaction center M protein (PsbM)],[evalue=3.25308E-09]
[locus_tag=SynWH8103_02270],[protein_id=CRY92972.1],[gene=petF],[protein=2Fe-2S ferredoxin],[locus_tag=PMM0316],[protein_id=CAE18775.1],[gene=None],[protein=possible ferredoxin],[evalue=1.11631E-43]
[locus_tag=SynWH8103_02271],[protein_id=CRY92973.1],[gene=psbB],[protein=Photosystem II chlorophyll-binding protein CP47],[locus_tag=PMM0315],[protein_id=CAE18774.1],[gene=psbB],[protein=Photosystem II PsbB protein (CP47)],[evalue=0.00000E+00],[locus_tag=PMM1158],[protein_id=CAE19617.1],[gene=psbC],[protein=Photosystem II PsbC protein (CP43)],[evalue=1.76365E-12]
[locus_tag=None],[protein_id=CRY92974.1],[gene=psbT],[protein=Photosystem II reaction center T protein],[locus_tag=PMM0314],[protein_id=CAE18773.1],[gene=psbT],[protein=Photosystem II PsbT protein],[evalue=7.60205E-14]
[locus_tag=SynWH8103_02273],[protein_id=CRY92975.1],[gene=nrdR],"[protein=transcriptional regulator, NrdR homolog]",[locus_tag=PMM0313],[protein_id=CAE18772.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.96523E-51]
[locus_tag=SynWH8103_02274],[protein_id=CRY92976.1],[gene=rpsA1],[protein=30S ribosomal protein S1],[locus_tag=PMM0312],[protein_id=CAE18771.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]",[evalue=0.00000E+00],[locus_tag=PMM0530],[protein_id=CAE18989.1],"[gene=rps1b, rpsA2, nbp1]","[protein=30S ribosomal protein S1 homolog B, putative Nbp1]",[evalue=1.97183E-56],[locus_tag=PMM1191],[protein_id=CAE19650.1],[gene=pnp],[protein=polyribonucleotide nucleotidyltransferase],[evalue=2.42875E-07]
[locus_tag=SynWH8103_02276],[protein_id=CRY92978.1],[gene=metK],[protein=methionine adenosyltransferase],[locus_tag=PMM0311],[protein_id=CAE18770.1],[gene=metK],[protein=S-adenosylmethionine synthetase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02277],[protein_id=CRY92979.1],[gene=None],"[protein=carbohydrate kinase, FGGY family]",[locus_tag=PMM0310],[protein_id=CAE18769.1],[gene=None],"[protein=Carbohydrate kinase, FGGY family]",[evalue=1.11715E-144]
[locus_tag=SynWH8103_02280],[protein_id=CRY92982.1],[gene=None],[protein=possible heme iron utilization protein],[locus_tag=PMM1010],[protein_id=CAE19469.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.73975E-14]
[locus_tag=SynWH8103_02283],[protein_id=CRY92984.1],[gene=unk1],[protein=conserved hypothetical protein],[locus_tag=PMM0735],[protein_id=CAE19194.1],[gene=None],[protein=hypothetical],[evalue=3.78295E-11]
[locus_tag=SynWH8103_02285],[protein_id=CRY92986.1],[gene=unk3],[protein=uncharacterized membrane protein],[locus_tag=PMM0308],[protein_id=CAE18767.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.08778E-103]
[locus_tag=SynWH8103_02290],[protein_id=CRY92990.1],[gene=unk5],[protein=pentapeptide repeat-containing protein],[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[evalue=1.02396E-06]
[locus_tag=None],[protein_id=CRY92995.1],[gene=cpeS],[protein=phycoerythrobilin:Cys-82 beta-phycoerythrin lyase],[locus_tag=PMM0306],[protein_id=CAE18765.1],[gene=cpeS],[protein=phycoerythrin linker protein CpeS homolog],[evalue=1.93928E-33]
[locus_tag=SynWH8103_02303],[protein_id=CRY93002.1],[gene=mpeB],"[protein=C-phycoerythrin class II, beta chain]",[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=8.81793E-34]
[locus_tag=SynWH8103_02321],[protein_id=CRY93016.1],[gene=cpeB],"[protein=C-phycoerythrin class I, beta subunit]",[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=9.61471E-41]
[locus_tag=SynWH8103_02323],[protein_id=CRY93018.1],[gene=cpeU],[protein=putative phycoerythrobilin:phycoerythrin lyase CpeU],[locus_tag=PMM0306],[protein_id=CAE18765.1],[gene=cpeS],[protein=phycoerythrin linker protein CpeS homolog],[evalue=1.68767E-12]
[locus_tag=SynWH8103_02324],[protein_id=CRY93019.1],[gene=pebA],"[protein=15,16 dihydrobiliverdin:ferredoxin oxidoreductase]",[locus_tag=PMM1593],[protein_id=CAE20052.1],[gene=pebA],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=9.66468E-59],[locus_tag=PMM1592],[protein_id=CAE20051.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=6.50810E-09],[locus_tag=PMM0747],[protein_id=CAE19206.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[evalue=8.05575E-08]
[locus_tag=SynWH8103_02325],[protein_id=CRY93020.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[locus_tag=PMM1592],[protein_id=CAE20051.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=1.05740E-45],[locus_tag=PMM1593],[protein_id=CAE20052.1],[gene=pebA],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=1.90856E-15],[locus_tag=PMM0747],[protein_id=CAE19206.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[evalue=1.36514E-08]
[locus_tag=SynWH8103_02326],[protein_id=CRY93021.1],[gene=cpcB],[protein=phycocyanin beta chain],[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=9.33916E-23]
[locus_tag=SynWH8103_02332],[protein_id=CRY93026.1],[gene=ptpA],[protein=Low molecular weight protein-tyrosine-phosphatase],[locus_tag=PMM1591],[protein_id=CAE20050.1],[gene=None],[protein=Low molecular weight phosphotyrosine protein phosphatase],[evalue=3.83717E-60]
[locus_tag=SynWH8103_02331],[protein_id=CRY93027.1],[gene=panC/cmk],[protein=bifunctional pantoate ligase/cytidylate kinase],[locus_tag=PMM1590],[protein_id=CAE20049.1],"[gene=panC, cmk]",[protein=putative bifunctional enzyme; pantothenate synthetase/cytidylate kinase],[evalue=1.32864E-145]
[locus_tag=SynWH8103_02334],[protein_id=CRY93029.1],[gene=purM],[protein=phosphoribosylformylglycinamidine cyclo-ligase],[locus_tag=PMM1589],[protein_id=CAE20048.1],"[gene=purM,purG]",[protein=phosphoribosyl formylglycinamidine cyclo-ligase],[evalue=1.09523E-137]
[locus_tag=SynWH8103_02335],[protein_id=CRY93030.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1588],[protein_id=CAE20047.1],[gene=None],[protein=possible Conserved carboxylase domain],[evalue=2.62171E-50]
[locus_tag=SynWH8103_02336],[protein_id=CRY93031.1],[gene=None],[protein=aldo/keto reductase family protein],[locus_tag=PMM0052],[protein_id=CAE18511.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=2.05245E-104]
[locus_tag=SynWH8103_02337],[protein_id=CRY93032.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1587],[protein_id=CAE20046.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.79143E-15]
[locus_tag=SynWH8103_02340],[protein_id=CRY93034.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1586],[protein_id=CAE20045.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.10089E-108],[locus_tag=PMM0118],[protein_id=CAE18577.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.85741E-28]
[locus_tag=SynWH8103_02341],[protein_id=CRY93035.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1585],[protein_id=CAE20044.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.36041E-16]
[locus_tag=SynWH8103_02342],[protein_id=CRY93036.1],[gene=rnd],[protein=ribonuclease D],[locus_tag=PMM1584],[protein_id=CAE20043.1],[gene=rnd],[protein=putative ribonuclease D],[evalue=6.78758E-84]
[locus_tag=SynWH8103_02344],[protein_id=CRY93038.1],[gene=None],[protein=uncharacterized conserved membrane protein DUF3529],[locus_tag=PMM1583],[protein_id=CAE20042.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.76496E-51]
[locus_tag=SynWH8103_02345],[protein_id=CRY93040.1],[gene=hemF],[protein=coproporphyrinogen-III oxidase],[locus_tag=PMM1582],[protein_id=CAE20041.1],[gene=hemF],[protein=Coproporphyrinogen III oxidase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02348],[protein_id=CRY93041.1],[gene=abpC],[protein=nucleotide-binding protein],[locus_tag=PMM1581],[protein_id=CAE20040.1],[gene=None],[protein=MRP protein homolog],[evalue=6.66773E-152],[locus_tag=PMM0321],[protein_id=CAE18780.1],[gene=minD],[protein=putative septum site-determining protein MinD],[evalue=1.96658E-06]
[locus_tag=SynWH8103_02349],[protein_id=CRY93042.1],[gene=mrdB],[protein=rod shape determining protein],[locus_tag=PMM1580],[protein_id=CAE20039.1],[gene=rodA],[protein=None],[evalue=2.81486E-142],[locus_tag=PMM1458],[protein_id=CAE19917.1],[gene=ftsW],[protein=Cell division protein FtsW],[evalue=4.89108E-27]
[locus_tag=SynWH8103_02350],[protein_id=CRY93043.1],[gene=None],[protein=putative signal transduction histidine kinase],[locus_tag=PMM1579],[protein_id=CAE20038.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.49910E-119]
[locus_tag=SynWH8103_02351],[protein_id=CRY93044.1],[gene=psaD],[protein=photosystem I reaction center subunit II],[locus_tag=PMM1578],[protein_id=CAE20037.1],[gene=psaD],[protein=Photosystem I protein PsaD],[evalue=4.46226E-75]
[locus_tag=SynWH8103_02352],[protein_id=CRY93045.1],[gene=trpE],[protein=anthranilate synthase component I],[locus_tag=PMM1577],[protein_id=CAE20036.1],[gene=trpE],[protein=Anthranilate synthase component I and chorismate binding enzyme],[evalue=0.00000E+00],[locus_tag=PMM1692],[protein_id=CAE20151.1],[gene=None],[protein=possible p-aminobenzoate synthetase],[evalue=2.66893E-48]
[locus_tag=SynWH8103_02353],[protein_id=CRY93046.1],[gene=None],[protein=putative glutamate--cysteine ligase],[locus_tag=PMM1576],[protein_id=CAE20035.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.24627E-145]
[locus_tag=SynWH8103_02354],[protein_id=CRY93047.1],[gene=ppc],[protein=Phosphoenol pyruvate carboxylase],[locus_tag=PMM1575],[protein_id=CAE20034.1],[gene=ppc],[protein=Phosphoenolpyruvate carboxylase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02355],[protein_id=CRY93048.1],[gene=None],[protein=gNAT family acetyltransferase],[locus_tag=PMM1574],[protein_id=CAE20033.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.53250E-40]
[locus_tag=SynWH8103_02357],[protein_id=CRY93049.1],[gene=recF],[protein=DNA replication and repair protein recF],[locus_tag=PMM1573],[protein_id=CAE20032.1],[gene=recF],[protein=putative DNA repair and genetic recombination protein RecF],[evalue=3.16955E-92]
[locus_tag=SynWH8103_02359],[protein_id=CRY93050.1],[gene=speH],[protein=S-adenosylmethionine decarboxylase],[locus_tag=PMM1572],[protein_id=CAE20031.1],[gene=None],[protein=DUF206],[evalue=3.79907E-46]
[locus_tag=SynWH8103_02358],[protein_id=CRY93051.1],[gene=None],[protein=asparagine synthase family protein],[locus_tag=PMM1571],[protein_id=CAE20030.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.96212E-110]
[locus_tag=SynWH8103_02360],[protein_id=CRY93052.1],[gene=cobO],"[protein=cob(I)yrinic acid a,c-diamide adenosyltransferase]",[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=ATP:corrinoid adenosyltransferase BtuR/CobO/CobP],[evalue=0.00000E+00],[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=possible cob(I)alamin adenosyltransferase],[evalue=1.82210E-20],[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=possible cob(I)alamin adenosyltransferase],[evalue=3.85981E-19]
[locus_tag=SynWH8103_02361],[protein_id=CRY93053.1],[gene=moeB],[protein=Molybdopterin biosynthesis protein],[locus_tag=PMM1569],[protein_id=CAE20028.1],[gene=moeB],[protein=molybdopterin biosynthesis protein],[evalue=2.62350E-111],[locus_tag=PMM0163],[protein_id=CAE18622.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.38682E-07]
[locus_tag=SynWH8103_02363],[protein_id=CRY93055.1],[gene=None],[protein=Cyanobacterial aminoacyl-tRNA synthetase domain CAAD) containing protein],[locus_tag=PMM1568],[protein_id=CAE20027.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.42386E-27]
[locus_tag=SynWH8103_02364],[protein_id=CRY93056.1],[gene=None],[protein=Possible fructosamine 3-kinase],[locus_tag=PMM1567],[protein_id=CAE20026.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.44144E-72]
[locus_tag=SynWH8103_02366],[protein_id=CRY93057.1],[gene=crtD],"[protein=C-3',4' desaturase]",[locus_tag=PMM1566],[protein_id=CAE20025.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMM1115],[protein_id=CAE19574.1],[gene=crtH],[protein=putative carotenoid isomerase],[evalue=4.57803E-22],[locus_tag=PMM0339],[protein_id=CAE18798.1],[gene=T8L23.23],[protein=Bacterial-type phytoene dehydrogenase],[evalue=2.80656E-06]
[locus_tag=SynWH8103_02365],[protein_id=CRY93058.1],[gene=tyrA],[protein=Prephenate dehydrogenase],[locus_tag=PMM1565],[protein_id=CAE20024.1],[gene=None],[protein=Prephenate dehydrogenase],[evalue=4.52122E-78]
[locus_tag=SynWH8103_02367],[protein_id=CRY93059.1],[gene=None],[protein=ATP-dependent helicase C-terminal domain-containing protein],[locus_tag=PMM1564],[protein_id=CAE20023.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.01595E-67]
[locus_tag=SynWH8103_02368],[protein_id=CRY93060.1],[gene=None],[protein=Conserved hypothetical protein (DUF2839)],[locus_tag=PMM1563],[protein_id=CAE20022.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.51100E-30],[locus_tag=PMM1387],[protein_id=CAE19846.1],[gene=None],[protein=hypothetical],[evalue=1.27985E-09]
[locus_tag=SynWH8103_02370],[protein_id=CRY93062.1],[gene=recA],[protein=recombinase A],[locus_tag=PMM1562],[protein_id=CAE20021.1],[gene=recA],[protein=RecA bacterial DNA recombination protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02371],[protein_id=CRY93063.1],[gene=None],[protein=haloacid dehalogenase-like hydrolase family protein],[locus_tag=PMM1561],[protein_id=CAE20020.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.35442E-52]
[locus_tag=SynWH8103_02374],[protein_id=CRY93065.1],[gene=ldpA],[protein=light dependent period protein],[locus_tag=PMM1560],[protein_id=CAE20019.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.05639E-113]
[locus_tag=SynWH8103_02375],[protein_id=CRY93066.1],[gene=ndhN],[protein=NADH dehydrogenase I subunit NdhN],[locus_tag=PMM1559],[protein_id=CAE20018.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.21956E-55]
[locus_tag=SynWH8103_02377],[protein_id=CRY93067.1],[gene=rplC],[protein=50S ribosomal protein L3],[locus_tag=PMM1558],[protein_id=CAE20017.1],"[gene=rpl3, rplC]",[protein=50S ribosomal protein L3],[evalue=3.71555E-106]
[locus_tag=SynWH8103_02378],[protein_id=CRY93068.1],[gene=rplD],[protein=50S ribosomal protein L4],[locus_tag=PMM1557],[protein_id=CAE20016.1],"[gene=rpl4, rplD]",[protein=50S ribosomal protein L4],[evalue=3.56736E-111]
[locus_tag=SynWH8103_02379],[protein_id=CRY93069.1],[gene=rplW],[protein=50S ribosomal protein L23],[locus_tag=PMM1556],[protein_id=CAE20015.1],"[gene=rpl23, rplW]",[protein=50S ribosomal protein L23],[evalue=7.24762E-57]
[locus_tag=SynWH8103_02380],[protein_id=CRY93070.1],[gene=rplB],[protein=50S ribosomal protein L2],[locus_tag=PMM1555],[protein_id=CAE20014.1],"[gene=rpl2, rplB]",[protein=50S ribosomal protein L2],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02381],[protein_id=CRY93071.1],[gene=rpsS],[protein=30S ribosomal protein S19],[locus_tag=PMM1554],[protein_id=CAE20013.1],"[gene=rps19, rpsS]",[protein=30S Ribosomal protein S19],[evalue=6.54686E-58]
[locus_tag=SynWH8103_02382],[protein_id=CRY93072.1],[gene=rplV],[protein=50S ribosomal protein L22],[locus_tag=PMM1553],[protein_id=CAE20012.1],"[gene=rpl22, rplV]",[protein=50S ribosomal protein L22],[evalue=7.79503E-69]
[locus_tag=SynWH8103_02383],[protein_id=CRY93073.1],[gene=rpsC],[protein=30S ribosomal protein S3],[locus_tag=PMM1552],[protein_id=CAE20011.1],"[gene=rps3, rpsC]",[protein=30S ribosomal protein S3],[evalue=1.14067E-154]
[locus_tag=SynWH8103_02384],[protein_id=CRY93074.1],[gene=rplP],[protein=50S ribosomal protein L16],[locus_tag=PMM1551],[protein_id=CAE20010.1],"[gene=rpl16, rplP]",[protein=50S ribosomal protein L16],[evalue=1.52687E-79]
[locus_tag=SynWH8103_02385],[protein_id=CRY93075.1],[gene=rpmC],[protein=50S ribosomal protein L29],[locus_tag=PMM1550],[protein_id=CAE20009.1],"[gene=rpl29, rpmC]",[protein=50S ribosomal protein L29],[evalue=5.97577E-17]
[locus_tag=SynWH8103_02386],[protein_id=CRY93076.1],[gene=rpsQ],[protein=30S ribosomal protein S17],[locus_tag=PMM1549],[protein_id=CAE20008.1],"[gene=rps17, rpsQ]",[protein=30S Ribosomal protein S17],[evalue=3.23883E-41]
[locus_tag=SynWH8103_02387],[protein_id=CRY93077.1],[gene=rplN],[protein=50S ribosomal protein L14],[locus_tag=PMM1548],[protein_id=CAE20007.1],"[gene=rpl14, rplN]",[protein=50S Ribosomal protein L14],[evalue=2.08858E-78]
[locus_tag=SynWH8103_02388],[protein_id=CRY93078.1],[gene=rplX],[protein=50S ribosomal protein L24],[locus_tag=PMM1547],[protein_id=CAE20006.1],"[gene=rpl24, rplX]",[protein=50S ribosomal protein L24],[evalue=2.50667E-50]
[locus_tag=SynWH8103_02389],[protein_id=CRY93079.1],[gene=rplE],[protein=50S ribosomal protein L5],[locus_tag=PMM1546],[protein_id=CAE20005.1],"[gene=rpl5, rplE]",[protein=50S ribosomal protein L5],[evalue=3.07067E-108]
[locus_tag=SynWH8103_02390],[protein_id=CRY93080.1],[gene=rpsH],[protein=30S ribosomal protein S8],[locus_tag=PMM1545],[protein_id=CAE20004.1],"[gene=rps8, rpsH]",[protein=30S ribosomal protein S8],[evalue=2.28670E-81]
[locus_tag=SynWH8103_02391],[protein_id=CRY93081.1],[gene=rplF],[protein=50S ribosomal protein L6],[locus_tag=PMM1544],[protein_id=CAE20003.1],"[gene=rpl6, rplF]",[protein=50S ribosomal protein L6],[evalue=2.72370E-99]
[locus_tag=SynWH8103_02392],[protein_id=CRY93082.1],[gene=rplR],[protein=50S ribosomal protein L18],[locus_tag=PMM1543],[protein_id=CAE20002.1],"[gene=rpl18, rplR]",[protein=50S ribosomal protein L18],[evalue=4.52240E-61]
