[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM1533],[protein_id=CAE19992.1],[gene=truA],[protein=tRNA pseudouridine synthase A],[locus_tag=Syncc8109_0355],[protein_id=AHF62762.1],[gene=truA],[protein=tRNA pseudouridine synthase A],[evalue=3.59550E-103]
[locus_tag=PMM1534],[protein_id=CAE19993.1],"[gene=rpl17, rplQ]",[protein=50S ribosomal protein L17],[locus_tag=Syncc8109_0356],[protein_id=AHF62763.1],[gene=rpl17],[protein=50S ribosomal protein L17],[evalue=9.55931E-67]
[locus_tag=PMM1535],[protein_id=CAE19994.1],[gene=rpoA],"[protein=Bacterial RNA polymerase, alpha chain]",[locus_tag=Syncc8109_0357],[protein_id=AHF62764.1],[gene=rpoA],"[protein=DNA-directed RNA polymerase, alpha subunit]",[evalue=0.00000E+00]
[locus_tag=PMM1536],[protein_id=CAE19995.1],"[gene=rps11, rpsK]",[protein=30S ribosomal protein S11],[locus_tag=Syncc8109_0358],[protein_id=AHF62765.1],[gene=rps11],[protein=30S ribosomal protein S11],[evalue=4.11976E-76]
[locus_tag=PMM1537],[protein_id=CAE19996.1],"[gene=rps13, rpsM]",[protein=30S ribosomal protein S13],[locus_tag=Syncc8109_0359],[protein_id=AHF62766.1],[gene=rps13],[protein=ribosomal protein S13],[evalue=5.42161E-65]
[locus_tag=PMM1538],[protein_id=CAE19997.1],"[gene=rpmJ,rpl36]",[protein=50S Ribosomal protein L36],[locus_tag=Syncc8109_0360],[protein_id=AHF62767.1],[gene=rpmJ],[protein=LSU ribosomal protein L36P],[evalue=2.32171E-18]
[locus_tag=PMM1539],[protein_id=CAE19998.1],[gene=adk],[protein=Adenylate kinase],[locus_tag=Syncc8109_0361],[protein_id=AHF62768.1],[gene=adk],[protein=adenylate kinase],[evalue=1.62007E-65]
[locus_tag=PMM1540],[protein_id=CAE19999.1],[gene=secY],[protein=preprotein translocase SecY subunit],[locus_tag=Syncc8109_0362],[protein_id=AHF62769.1],[gene=secY],[protein=SecY protein],[evalue=0.00000E+00]
[locus_tag=PMM1541],[protein_id=CAE20000.1],"[gene=rpl15, rplO]",[protein=50S ribosomal protein L15],[locus_tag=Syncc8109_0363],[protein_id=AHF62770.1],[gene=rpl15],[protein=ribosomal protein L15],[evalue=1.15611E-63]
[locus_tag=PMM1542],[protein_id=CAE20001.1],"[gene=rpsE,rps5]",[protein=30S ribosomal protein S5],[locus_tag=Syncc8109_0364],[protein_id=AHF62771.1],[gene=rpsE],[protein=ribosomal protein S5],[evalue=9.53174E-105]
[locus_tag=PMM1543],[protein_id=CAE20002.1],"[gene=rpl18, rplR]",[protein=50S ribosomal protein L18],[locus_tag=Syncc8109_0365],[protein_id=AHF62772.1],[gene=rpl18],[protein=ribosomal protein L18],[evalue=1.15137E-62]
[locus_tag=PMM1544],[protein_id=CAE20003.1],"[gene=rpl6, rplF]",[protein=50S ribosomal protein L6],[locus_tag=Syncc8109_0366],[protein_id=AHF62773.1],[gene=rpl6],[protein=50S ribosomal protein L6],[evalue=2.75719E-97]
[locus_tag=PMM1545],[protein_id=CAE20004.1],"[gene=rps8, rpsH]",[protein=30S ribosomal protein S8],[locus_tag=Syncc8109_0367],[protein_id=AHF62774.1],[gene=rps8],[protein=30S ribosomal protein S8],[evalue=1.90232E-81]
[locus_tag=PMM1546],[protein_id=CAE20005.1],"[gene=rpl5, rplE]",[protein=50S ribosomal protein L5],[locus_tag=Syncc8109_0368],[protein_id=AHF62775.1],[gene=rpl5],[protein=50S ribosomal protein L5],[evalue=7.35804E-109]
[locus_tag=PMM1547],[protein_id=CAE20006.1],"[gene=rpl24, rplX]",[protein=50S ribosomal protein L24],[locus_tag=Syncc8109_0369],[protein_id=AHF62776.1],[gene=rpl24],[protein=LSU ribosomal protein L24P],[evalue=3.54087E-52]
[locus_tag=PMM1548],[protein_id=CAE20007.1],"[gene=rpl14, rplN]",[protein=50S Ribosomal protein L14],[locus_tag=Syncc8109_0370],[protein_id=AHF62777.1],[gene=rplN],[protein=LSU ribosomal protein L14P],[evalue=3.14231E-78]
[locus_tag=PMM1549],[protein_id=CAE20008.1],"[gene=rps17, rpsQ]",[protein=30S Ribosomal protein S17],[locus_tag=Syncc8109_0371],[protein_id=AHF62778.1],[gene=rps17],[protein=SSU ribosomal protein S17P],[evalue=1.01681E-39]
[locus_tag=PMM1550],[protein_id=CAE20009.1],"[gene=rpl29, rpmC]",[protein=50S ribosomal protein L29],[locus_tag=Syncc8109_0372],[protein_id=AHF62779.1],[gene=rpl29],[protein=ribosomal protein L29],[evalue=1.00847E-15]
[locus_tag=PMM1551],[protein_id=CAE20010.1],"[gene=rpl16, rplP]",[protein=50S ribosomal protein L16],[locus_tag=Syncc8109_0373],[protein_id=AHF62780.1],[gene=rplP],[protein=ribosomal protein L16],[evalue=2.34789E-92]
[locus_tag=PMM1552],[protein_id=CAE20011.1],"[gene=rps3, rpsC]",[protein=30S ribosomal protein S3],[locus_tag=Syncc8109_0374],[protein_id=AHF62781.1],[gene=rpsC],[protein=ribosomal protein S3],[evalue=2.78698E-146]
[locus_tag=PMM1553],[protein_id=CAE20012.1],"[gene=rpl22, rplV]",[protein=50S ribosomal protein L22],[locus_tag=Syncc8109_0375],[protein_id=AHF62782.1],[gene=rpl22],[protein=ribosomal protein L22],[evalue=2.49369E-60]
[locus_tag=PMM1554],[protein_id=CAE20013.1],"[gene=rps19, rpsS]",[protein=30S Ribosomal protein S19],[locus_tag=Syncc8109_0376],[protein_id=AHF62783.1],[gene=rps19],[protein=SSU ribosomal protein S19P],[evalue=4.18358E-58]
[locus_tag=PMM1555],[protein_id=CAE20014.1],"[gene=rpl2, rplB]",[protein=50S ribosomal protein L2],[locus_tag=Syncc8109_0377],[protein_id=AHF62784.1],[gene=rpl2],[protein=50S ribosomal protein L2],[evalue=0.00000E+00]
[locus_tag=PMM1556],[protein_id=CAE20015.1],"[gene=rpl23, rplW]",[protein=50S ribosomal protein L23],[locus_tag=Syncc8109_0378],[protein_id=AHF62785.1],[gene=rpl23],[protein=50S ribosomal protein L23],[evalue=1.97218E-56]
[locus_tag=PMM1557],[protein_id=CAE20016.1],"[gene=rpl4, rplD]",[protein=50S ribosomal protein L4],[locus_tag=Syncc8109_0379],[protein_id=AHF62786.1],[gene=rpl4],[protein=50S ribosomal protein L4],[evalue=2.03958E-112]
[locus_tag=PMM1558],[protein_id=CAE20017.1],"[gene=rpl3, rplC]",[protein=50S ribosomal protein L3],[locus_tag=Syncc8109_0380],[protein_id=AHF62787.1],[gene=rpl3],[protein=50S ribosomal protein L3],[evalue=5.45131E-114]
[locus_tag=PMM1559],[protein_id=CAE20018.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0383],[protein_id=AHF62790.1],[gene=ndhN],[protein=NADH dehydrogenase I subunit N],[evalue=1.73130E-69]
[locus_tag=PMM1560],[protein_id=CAE20019.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0384],[protein_id=AHF62791.1],[gene=ldpA],[protein=putative LdpA protein],[evalue=9.11771E-106]
[locus_tag=PMM1561],[protein_id=CAE20020.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0388],[protein_id=AHF62794.1],[gene=None],[protein=hypothetical protein],[evalue=7.30861E-53]
[locus_tag=PMM1562],[protein_id=CAE20021.1],[gene=recA],[protein=RecA bacterial DNA recombination protein],[locus_tag=Syncc8109_0389],[protein_id=AHF62795.1],[gene=recA],[protein=recA protein],[evalue=0.00000E+00]
[locus_tag=PMM1563],[protein_id=CAE20022.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0391],[protein_id=AHF62797.1],[gene=None],[protein=hypothetical protein],[evalue=1.31218E-31]
[locus_tag=PMM1564],[protein_id=CAE20023.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0392],[protein_id=AHF62798.1],[gene=None],[protein=hypothetical protein],[evalue=2.37000E-63]
[locus_tag=PMM1565],[protein_id=CAE20024.1],[gene=None],[protein=Prephenate dehydrogenase],[locus_tag=Syncc8109_0393],[protein_id=AHF62799.1],[gene=None],[protein=prephenate dehydrogenase],[evalue=2.15800E-63]
[locus_tag=PMM1566],[protein_id=CAE20025.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0394],[protein_id=AHF62800.1],[gene=None],[protein=phytoene dehydrogenase related enzyme],[evalue=4.52552E-180],[locus_tag=Syncc8109_0960],[protein_id=AHF63334.1],[gene=crtH],[protein=carotenoid isomerase],[evalue=1.15090E-26]
[locus_tag=PMM1568],[protein_id=CAE20027.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0398],[protein_id=AHF62802.1],[gene=None],[protein=hypothetical protein],[evalue=3.34642E-39]
[locus_tag=PMM1569],[protein_id=CAE20028.1],[gene=moeB],[protein=molybdopterin biosynthesis protein],[locus_tag=Syncc8109_0401],[protein_id=AHF62805.1],[gene=None],[protein=Rhodanese-like protein],[evalue=3.51616E-115]
[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=ATP:corrinoid adenosyltransferase BtuR/CobO/CobP],[locus_tag=Syncc8109_0403],[protein_id=AHF62807.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_1989],[protein_id=AHF64333.1],[gene=cobO],[protein=cob(I)alamin adenosyltransferase],[evalue=1.47825E-19],[locus_tag=Syncc8109_1989],[protein_id=AHF64333.1],[gene=cobO],[protein=cob(I)alamin adenosyltransferase],[evalue=8.36836E-18]
[locus_tag=PMM1571],[protein_id=CAE20030.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0404],[protein_id=AHF62808.1],[gene=None],[protein=hypothetical protein],[evalue=7.69126E-108]
[locus_tag=PMM1572],[protein_id=CAE20031.1],[gene=None],[protein=DUF206],[locus_tag=Syncc8109_0405],[protein_id=AHF62809.1],[gene=None],[protein=Adenosylmethionine decarboxylase],[evalue=2.67499E-45]
[locus_tag=PMM1573],[protein_id=CAE20032.1],[gene=recF],[protein=putative DNA repair and genetic recombination protein RecF],[locus_tag=Syncc8109_0406],[protein_id=AHF62810.1],[gene=recF],[protein=DNA replication and repair protein RecF],[evalue=5.63949E-90]
[locus_tag=PMM1574],[protein_id=CAE20033.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0408],[protein_id=AHF62811.1],[gene=None],[protein=hypothetical protein],[evalue=3.37645E-43]
[locus_tag=PMM1575],[protein_id=CAE20034.1],[gene=ppc],[protein=Phosphoenolpyruvate carboxylase],[locus_tag=Syncc8109_0409],[protein_id=AHF62812.1],[gene=ppc],[protein=Phosphoenolpyruvate carboxylase],[evalue=0.00000E+00]
[locus_tag=PMM1576],[protein_id=CAE20035.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0410],[protein_id=AHF62813.1],[gene=None],"[protein=Glutamate--cysteine ligase, putative]",[evalue=1.35294E-121]
[locus_tag=PMM1577],[protein_id=CAE20036.1],[gene=trpE],[protein=Anthranilate synthase component I and chorismate binding enzyme],[locus_tag=Syncc8109_0411],[protein_id=AHF62814.1],[gene=trpE],[protein=Anthranilate synthase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2666],[protein_id=AHF64972.1],[gene=None],[protein=Anthranilate synthase],[evalue=3.35266E-52]
[locus_tag=PMM1578],[protein_id=CAE20037.1],[gene=psaD],[protein=Photosystem I protein PsaD],[locus_tag=Syncc8109_0412],[protein_id=AHF62815.1],[gene=psaD],[protein=photosystem I reaction center subunit II (PsaD)],[evalue=4.02949E-80]
[locus_tag=PMM1579],[protein_id=CAE20038.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0413],[protein_id=AHF62816.1],[gene=None],[protein=hypothetical protein],[evalue=6.31461E-120]
[locus_tag=PMM1580],[protein_id=CAE20039.1],[gene=rodA],[protein=None],[locus_tag=Syncc8109_0414],[protein_id=AHF62817.1],[gene=rodA],[protein=cell division protein possibly involved in shape determination],[evalue=8.63540E-149],[locus_tag=Syncc8109_2284],[protein_id=AHF64610.1],[gene=ftsW],[protein=cell division protein FtsW],[evalue=8.10785E-30]
[locus_tag=PMM1581],[protein_id=CAE20040.1],[gene=None],[protein=MRP protein homolog],[locus_tag=Syncc8109_0415],[protein_id=AHF62818.1],[gene=None],[protein=MRP protein-like protein],[evalue=2.99608E-153],[locus_tag=Syncc8109_0521],[protein_id=AHF62916.1],[gene=minD],[protein=septum site-determining protein MinD],[evalue=2.19756E-12]
[locus_tag=PMM1582],[protein_id=CAE20041.1],[gene=hemF],[protein=Coproporphyrinogen III oxidase],[locus_tag=Syncc8109_0416],[protein_id=AHF62819.1],[gene=hemF],[protein=Coproporphyrinogen oxidase],[evalue=0.00000E+00]
[locus_tag=PMM1583],[protein_id=CAE20042.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0418],[protein_id=AHF62821.1],[gene=None],[protein=hypothetical protein],[evalue=8.82432E-59]
[locus_tag=PMM1584],[protein_id=CAE20043.1],[gene=rnd],[protein=putative ribonuclease D],[locus_tag=Syncc8109_0420],[protein_id=AHF62823.1],[gene=rnd],[protein=3'-5' exonuclease],[evalue=1.56019E-85]
[locus_tag=PMM1585],[protein_id=CAE20044.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0421],[protein_id=AHF62824.1],[gene=None],[protein=hypothetical protein],[evalue=1.95020E-15]
[locus_tag=PMM1586],[protein_id=CAE20045.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0422],[protein_id=AHF62825.1],[gene=None],[protein=hypothetical protein],[evalue=1.43090E-126],[locus_tag=Syncc8109_2464],[protein_id=AHF64772.1],[gene=None],[protein=hypothetical protein],[evalue=4.54222E-29]
[locus_tag=PMM1588],[protein_id=CAE20047.1],[gene=None],[protein=possible Conserved carboxylase domain],[locus_tag=Syncc8109_0428],[protein_id=AHF62828.1],[gene=None],[protein=hypothetical protein],[evalue=1.74215E-59]
[locus_tag=PMM1589],[protein_id=CAE20048.1],"[gene=purM,purG]",[protein=phosphoribosyl formylglycinamidine cyclo-ligase],[locus_tag=Syncc8109_0430],[protein_id=AHF62830.1],[gene=purM],[protein=phosphoribosyl formylglycinamidine cyclo-ligase],[evalue=3.89822E-130]
[locus_tag=PMM1590],[protein_id=CAE20049.1],"[gene=panC, cmk]",[protein=putative bifunctional enzyme; pantothenate synthetase/cytidylate kinase],[locus_tag=Syncc8109_0433],[protein_id=AHF62833.1],[gene=panC],[protein=pantoate-beta-alanine ligase],[evalue=7.83152E-152]
[locus_tag=PMM1591],[protein_id=CAE20050.1],[gene=None],[protein=Low molecular weight phosphotyrosine protein phosphatase],[locus_tag=Syncc8109_0434],[protein_id=AHF62834.1],[gene=None],[protein=protein tyrosine phosphatase],[evalue=1.23088E-58]
[locus_tag=PMM1592],[protein_id=CAE20051.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[locus_tag=Syncc8109_0440],[protein_id=AHF62840.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=3.83711E-54]
[locus_tag=PMM1593],[protein_id=CAE20052.1],[gene=pebA],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[locus_tag=Syncc8109_0441],[protein_id=AHF62841.1],[gene=pebA],"[protein=15,16 dihydrobiliverdin:ferredoxin oxidoreductase]",[evalue=3.96750E-56]
[locus_tag=PMM1594],[protein_id=CAE20053.1],[gene=ho1],[protein=Heme oxygenase],[locus_tag=Syncc8109_0174],[protein_id=AHF62592.1],[gene=ho1],[protein=Heme oxygenase (decyclizing)],[evalue=3.80829E-119]
[locus_tag=PMM1595],[protein_id=CAE20054.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0173],[protein_id=AHF62591.1],[gene=None],[protein=hypothetical protein],[evalue=6.07794E-40]
[locus_tag=PMM1596],[protein_id=CAE20055.1],[gene=icd],[protein=Isocitrate dehydrogenase],[locus_tag=Syncc8109_0169],[protein_id=AHF62587.1],[gene=icd],[protein=Isocitrate dehydrogenase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0815],[protein_id=AHF63195.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase],[evalue=8.91809E-15]
[locus_tag=PMM1597],[protein_id=CAE20056.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0167],[protein_id=AHF62585.1],[gene=None],[protein=hypothetical protein],[evalue=2.20457E-123]
[locus_tag=PMM1598],[protein_id=CAE20057.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0165],[protein_id=AHF62583.1],[gene=None],[protein=hypothetical protein],[evalue=1.09915E-76]
[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0164],[protein_id=AHF62582.1],[gene=None],[protein=hypothetical protein],[evalue=6.34116E-103],[locus_tag=Syncc8109_0121],[protein_id=AHF62541.1],[gene=None],[protein=hypothetical protein],[evalue=4.29819E-50],[locus_tag=Syncc8109_2091],[protein_id=AHF64429.1],[gene=None],[protein=alpha/beta hydrolase superfamily protein],[evalue=2.01635E-33]
[locus_tag=PMM1600],[protein_id=CAE20059.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family]",[locus_tag=Syncc8109_0162],[protein_id=AHF62580.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA2 family protein]",[evalue=0.00000E+00]
[locus_tag=PMM1601],[protein_id=CAE20060.1],[gene=None],[protein=phosphorylase],[locus_tag=Syncc8109_0161],[protein_id=AHF62579.1],[gene=None],[protein=Glycogen/starch/alpha-glucan phosphorylase],[evalue=0.00000E+00]
[locus_tag=PMM1602],[protein_id=CAE20061.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0159],[protein_id=AHF62577.1],[gene=None],[protein=hypothetical protein],[evalue=4.67147E-54]
[locus_tag=PMM1603],[protein_id=CAE20062.1],[gene=rnc],[protein=putative ribonuclease III],[locus_tag=Syncc8109_0156],[protein_id=AHF62576.1],[gene=rnc],[protein=Ribonuclease III],[evalue=7.48174E-65]
[locus_tag=PMM1604],[protein_id=CAE20063.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0154],[protein_id=AHF62574.1],[gene=None],[protein=hypothetical protein],[evalue=3.66283E-25]
[locus_tag=PMM1605],[protein_id=CAE20064.1],[gene=rimM],[protein=possible 16S rRNA processing protein RimM],[locus_tag=Syncc8109_0153],[protein_id=AHF62573.1],[gene=rimM],[protein=16S rRNA processing protein RimM],[evalue=1.11676E-39]
[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[locus_tag=Syncc8109_0151],[protein_id=AHF62571.1],[gene=glmS],"[protein=glucosamine--fructose-6-phosphate aminotransferase, isomerizing]",[evalue=0.00000E+00]
[locus_tag=PMM1607],[protein_id=CAE20066.1],[gene=psaC],[protein=Photosystem I subunit PsaC],[locus_tag=Syncc8109_0150],[protein_id=AHF62570.1],[gene=psaC],[protein=photosystem I iron-sulfur center subunit VII (PsaC)],[evalue=1.75339E-57]
[locus_tag=PMM1608],[protein_id=CAE20067.1],"[gene=acpP,acp]",[protein=acyl carrier protein (ACP)],[locus_tag=Syncc8109_0149],[protein_id=AHF62569.1],[gene=acpP],[protein=acyl carrier protein (ACP)],[evalue=1.16942E-43]
[locus_tag=PMM1609],[protein_id=CAE20068.1],[gene=fabF],[protein=3-oxoacyl-[acyl-carrier-protein],[locus_tag=Syncc8109_0148],[protein_id=AHF62568.1],[gene=fabF],[protein=3-oxoacyl-(acyl-carrier-protein) synthase II],[evalue=0.00000E+00]
[locus_tag=PMM1610],[protein_id=CAE20069.1],"[gene=tktA, cbbT]",[protein=Transketolase],[locus_tag=Syncc8109_0147],[protein_id=AHF62567.1],[gene=tktA],[protein=transketolase],[evalue=0.00000E+00]
[locus_tag=PMM1611],[protein_id=CAE20070.1],[gene=thiC],[protein=ThiC family],[locus_tag=Syncc8109_0146],[protein_id=AHF62566.1],[gene=thiC],[protein=thiamine biosynthesis protein ThiC],[evalue=0.00000E+00]
[locus_tag=PMM1613],[protein_id=CAE20072.1],[gene=None],[protein=Zinc metallopeptidase M20/M25/M40 family],[locus_tag=Syncc8109_0143],[protein_id=AHF62563.1],[gene=None],"[protein=Peptidase M20D, amidohydrolase]",[evalue=5.33341E-146]
[locus_tag=PMM1614],[protein_id=CAE20073.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0142],[protein_id=AHF62562.1],[gene=None],[protein=hypothetical protein],[evalue=1.50363E-87]
[locus_tag=PMM1615],[protein_id=CAE20074.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[locus_tag=Syncc8109_0141],[protein_id=AHF62561.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[evalue=4.90704E-115]
[locus_tag=PMM1616],[protein_id=CAE20075.1],[gene=smpB],[protein=tmRNA binding protein SmpB],[locus_tag=Syncc8109_0140],[protein_id=AHF62560.1],[gene=smpB],[protein=SsrA-binding protein],[evalue=1.48292E-69]
[locus_tag=PMM1617],[protein_id=CAE20076.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0134],[protein_id=AHF62554.1],[gene=None],[protein=hypothetical protein],[evalue=1.95582E-54]
[locus_tag=PMM1618],[protein_id=CAE20077.1],[gene=lysS],[protein=Lysyl-tRNA synthetase],[locus_tag=Syncc8109_0133],[protein_id=AHF62553.1],[gene=lysS],[protein=lysyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2660],[protein_id=AHF64966.1],[gene=aspS],[protein=aspartyl-tRNA synthetase],[evalue=3.15949E-19]
[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[locus_tag=Syncc8109_0132],[protein_id=AHF62552.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]",[evalue=2.54598E-143],[locus_tag=Syncc8109_2493],[protein_id=AHF64800.1],[gene=rpaB],"[protein=two component transcriptional regulator, winged helix family]",[evalue=2.24737E-89],[locus_tag=Syncc8109_2487],[protein_id=AHF64794.1],[gene=rpaA],"[protein=two component transcriptional regulator, winged helix family]",[evalue=8.02674E-48]
