[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_2549],[protein_id=AHF64856.1],[gene=menF],[protein=isochorismate synthase],[locus_tag=PMT_2060],[protein_id=CAE22234.1],[gene=menF],[protein=Isochorismate synthase],[evalue=0.00000E+00],[locus_tag=PMT_2223],[protein_id=CAE22397.1],[gene=None],[protein=possible p-aminobenzoate synthetase],[evalue=2.62504E-12],[locus_tag=PMT_1711],[protein_id=CAE21886.1],[gene=trpE],[protein=Anthranilate synthase component I and chorismate binding enzyme],[evalue=3.51953E-09]
[locus_tag=Syncc8109_2550],[protein_id=AHF64857.1],[gene=gshB],[protein=glutathione synthetase],[locus_tag=PMT_2061],[protein_id=CAE22235.1],[gene=gshB],[protein=putative Glutathione synthetase],[evalue=1.52144E-160]
[locus_tag=Syncc8109_2551],[protein_id=AHF64858.1],[gene=None],"[protein=Glutaredoxin, GrxC]",[locus_tag=PMT_2062],[protein_id=CAE22236.1],[gene=None],[protein=Glutaredoxin],[evalue=6.21268E-42],[locus_tag=PMT_0512],[protein_id=CAE20687.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.08633E-10]
[locus_tag=Syncc8109_2552],[protein_id=AHF64859.1],[gene=prfB],[protein=peptide chain release factor 2],[locus_tag=PMT_2063],[protein_id=CAE22237.1],[gene=prfB],[protein=peptide-chain-release factor RF-2],[evalue=0.00000E+00],[locus_tag=PMT_1761],[protein_id=CAE21936.1],"[gene=prfA,sueB]",[protein=peptide chain release factor RF-1],[evalue=6.97161E-48]
[locus_tag=Syncc8109_2553],[protein_id=AHF64860.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2064],[protein_id=CAE22238.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.41323E-25]
[locus_tag=Syncc8109_2554],[protein_id=AHF64861.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2065],[protein_id=CAE22239.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.74912E-49]
[locus_tag=Syncc8109_2555],[protein_id=AHF64862.1],[gene=dgkA],[protein=putative diacylglycerol kinase],[locus_tag=PMT_2066],[protein_id=CAE22240.1],[gene=dgkA],[protein=Prokaryotic diacylglycerol kinase],[evalue=2.23561E-52]
[locus_tag=Syncc8109_2556],[protein_id=AHF64863.1],[gene=pabA],[protein=glutamine amidotransferase of anthranilate synthase or para-aminobenzoate synthase],[locus_tag=PMT_2067],[protein_id=CAE22241.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=1.64795E-118],[locus_tag=PMT_0653],[protein_id=CAE20828.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain],[evalue=2.15237E-10],[locus_tag=PMT_0045],[protein_id=CAE20220.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[evalue=7.06407E-09]
[locus_tag=Syncc8109_2557],[protein_id=AHF64864.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2068],[protein_id=CAE22242.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.91057E-114]
[locus_tag=Syncc8109_2559],[protein_id=AHF64866.1],[gene=hisC],[protein=aminotransferases class-I],[locus_tag=PMT_2069],[protein_id=CAE22243.1],[gene=hisC],[protein=Aminotransferases class-I],[evalue=0.00000E+00],[locus_tag=PMT_2100],[protein_id=CAE22274.1],[gene=hisC/cobC],[protein=Aminotransferases class-I],[evalue=3.33968E-16],[locus_tag=PMT_0779],[protein_id=CAE20954.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=5.59371E-12]
[locus_tag=Syncc8109_2560],[protein_id=AHF64867.1],[gene=argS],[protein=arginyl-tRNA synthetase],[locus_tag=PMT_2070],[protein_id=CAE22244.1],[gene=argS],[protein=Arginyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2561],[protein_id=AHF64868.1],[gene=nadC],[protein=nicotinate-nucleotide pyrophosphorylase],[locus_tag=PMT_2073],[protein_id=CAE22247.1],[gene=nadC],[protein=Nicotinate-nucleotide pyrophosphorylase:Quinolinate phosphoriobsyl transferase],[evalue=8.48849E-128]
[locus_tag=Syncc8109_2562],[protein_id=AHF64869.1],[gene=trmE],[protein=tRNA modification GTPase TrmE],[locus_tag=PMT_2074],[protein_id=CAE22248.1],[gene=None],[protein=putative thiophen / furan oxidation protein],[evalue=0.00000E+00],[locus_tag=PMT_0203],[protein_id=CAE20378.1],[gene=None],[protein=GTP-binding protein (HSR1-related):AAA ATPase superfamily],[evalue=6.32203E-21],[locus_tag=PMT_0203],[protein_id=CAE20378.1],[gene=None],[protein=GTP-binding protein (HSR1-related):AAA ATPase superfamily],[evalue=6.12451E-16]
[locus_tag=Syncc8109_2563],[protein_id=AHF64870.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2075],[protein_id=CAE22249.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.52767E-59]
[locus_tag=Syncc8109_2564],[protein_id=AHF64871.1],[gene=spoT],[protein=metal dependent phosphohydrolase],[locus_tag=PMT_2111],[protein_id=CAE22285.1],[gene=spoT],"[protein=guanosine-3',5'-bis(diphosphate) 3'-diphosphatase, (ppGpp)ase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_2565],[protein_id=AHF64872.1],[gene=None],[protein=ATPase],[locus_tag=PMT_2110],[protein_id=CAE22284.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[evalue=0.00000E+00],[locus_tag=PMT_0893],[protein_id=CAE21068.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[evalue=8.72475E-37],[locus_tag=PMT_0893],[protein_id=CAE21068.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[evalue=1.44454E-28]
[locus_tag=Syncc8109_2566],[protein_id=AHF64873.1],[gene=rluD],"[protein=Pseudouridine synthase, RluD]",[locus_tag=PMT_2109],[protein_id=CAE22283.1],[gene=rluD],[protein=putative pseudouridylate synthase specific to ribosomal large subunit],[evalue=0.00000E+00],[locus_tag=PMT_1112],[protein_id=CAE21287.1],[gene=rluA],[protein=putative pseudouridylate synthase],[evalue=1.09124E-27],[locus_tag=PMT_2042],[protein_id=CAE22216.1],[gene=None],[protein=Pseudouridine synthase],[evalue=1.60708E-26]
[locus_tag=Syncc8109_2567],[protein_id=AHF64874.1],[gene=rbgA],[protein=GTP-binding protein],[locus_tag=PMT_2108],[protein_id=CAE22282.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.55446E-156]
[locus_tag=Syncc8109_2568],[protein_id=AHF64875.1],[gene=pgk],[protein=Phosphoglycerate kinase],[locus_tag=PMT_2106],[protein_id=CAE22280.1],"[gene=pgk, cbbK]",[protein=Phosphoglycerate kinase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2569],[protein_id=AHF64876.1],[gene=None],[protein=3-hydroxyisobutyrate dehydrogenase],[locus_tag=PMT_2105],[protein_id=CAE22279.1],[gene=None],[protein=putative 3-hydroxyisobutyrate dehydrogenase],[evalue=7.99973E-127]
[locus_tag=Syncc8109_2570],[protein_id=AHF64877.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2102],[protein_id=CAE22276.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.71611E-71]
[locus_tag=Syncc8109_2571],[protein_id=AHF64878.1],[gene=murG],[protein=UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase],[locus_tag=PMT_2101],[protein_id=CAE22275.1],[gene=murG],[protein=Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase],[evalue=6.92981E-165]
[locus_tag=Syncc8109_2572],[protein_id=AHF64879.1],[gene=hisC/cobC],"[protein=L-threonine-O-3-phosphate decarboxylase, putative]",[locus_tag=PMT_2100],[protein_id=CAE22274.1],[gene=hisC/cobC],[protein=Aminotransferases class-I],[evalue=5.75772E-124],[locus_tag=PMT_2069],[protein_id=CAE22243.1],[gene=hisC],[protein=Aminotransferases class-I],[evalue=1.66147E-12]
[locus_tag=Syncc8109_2573],[protein_id=AHF64880.1],[gene=pyrD],[protein=dihydroorotate dehydrogenase],[locus_tag=PMT_2094],[protein_id=CAE22268.1],[gene=pyrD],[protein=Dihydroorotate dehydrogenase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2574],[protein_id=AHF64881.1],[gene=rnhA],[protein=putative ribonuclease HI],[locus_tag=PMT_2093],[protein_id=CAE22267.1],[gene=rnhA],[protein=possible ribonuclease HI],[evalue=1.78969E-123]
[locus_tag=Syncc8109_2575],[protein_id=AHF64882.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2092],[protein_id=CAE22266.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03751E-79],[locus_tag=PMT_1600],[protein_id=CAE21775.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.40180E-29]
[locus_tag=Syncc8109_2577],[protein_id=AHF64884.1],[gene=rplL],[protein=ribosomal protein L7/L12],[locus_tag=PMT_2091],[protein_id=CAE22265.1],"[gene=rpl12, rplL, rpl7]",[protein=50S ribosomal protein L7/L12],[evalue=1.34321E-49]
[locus_tag=Syncc8109_2578],[protein_id=AHF64885.1],[gene=rpl10],[protein=50S ribosomal protein L10],[locus_tag=PMT_2090],[protein_id=CAE22264.1],"[gene=rpl10, rplJ]",[protein=50S ribosomal protein L10],[evalue=2.69686E-99]
[locus_tag=Syncc8109_2580],[protein_id=AHF64887.1],[gene=rpl1],[protein=ribosomal protein L1],[locus_tag=PMT_2089],[protein_id=CAE22263.1],"[gene=rpl1, rplA]",[protein=50S ribosomal protein L1],[evalue=4.55653E-152]
[locus_tag=Syncc8109_2581],[protein_id=AHF64888.1],[gene=rplK],[protein=ribosomal protein L11],[locus_tag=PMT_2088],[protein_id=CAE22262.1],"[gene=rpl11, rplK]",[protein=50S ribosomal protein L11],[evalue=4.01061E-95]
[locus_tag=Syncc8109_2582],[protein_id=AHF64889.1],[gene=nusG],[protein=NusG antitermination factor],[locus_tag=PMT_2087],[protein_id=CAE22261.1],[gene=nusG],"[protein=transcription antitermination protein, NusG]",[evalue=9.02786E-143]
[locus_tag=Syncc8109_2583],[protein_id=AHF64890.1],[gene=secE],[protein=SecE subunit of protein translocation complex],[locus_tag=PMT_2086],[protein_id=CAE22260.1],[gene=secE],"[protein=putative preprotein translocase, SecE subunit]",[evalue=4.14193E-35]
[locus_tag=Syncc8109_2584],[protein_id=AHF64891.1],[gene=clpB],[protein=ATPase],[locus_tag=PMT_2085],[protein_id=CAE22259.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00],[locus_tag=PMT_0449],[protein_id=CAE20624.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00],[locus_tag=PMT_1061],[protein_id=CAE21236.1],[gene=clpC],[protein=ClpC],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2585],[protein_id=AHF64892.1],[gene=gloA],[protein=Glyoxalase I],[locus_tag=PMT_2084],[protein_id=CAE22258.1],[gene=gloA],[protein=lactoylglutathione lyase; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily],[evalue=2.22200E-78]
[locus_tag=Syncc8109_2586],[protein_id=AHF64893.1],[gene=eno],[protein=enolase],[locus_tag=PMT_2083],[protein_id=CAE22257.1],[gene=eno],[protein=Enolase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2587],[protein_id=AHF64894.1],[gene=None],[protein=putative kinase],[locus_tag=PMT_2082],[protein_id=CAE22256.1],[gene=None],[protein=possible kinase],[evalue=0.00000E+00],[locus_tag=PMT_2272],[protein_id=CAE22446.1],[gene=None],[protein=possible protein kinase:ABC1 family],[evalue=1.06662E-74],[locus_tag=PMT_1067],[protein_id=CAE21242.1],[gene=None],[protein=possible kinase],[evalue=2.04611E-65]
[locus_tag=Syncc8109_2588],[protein_id=AHF64895.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2081],[protein_id=CAE22255.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.15762E-23]
[locus_tag=Syncc8109_2589],[protein_id=AHF64896.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2080],[protein_id=CAE22254.1],[gene=None],[protein=Proline-rich region],[evalue=4.62414E-22]
[locus_tag=Syncc8109_2592],[protein_id=AHF64899.1],[gene=argJ],[protein=arginine biosynthesis bifunctional protein ArgJ],[locus_tag=PMT_2135],[protein_id=CAE22309.1],[gene=argJ],[protein=ArgJ family],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2593],[protein_id=AHF64900.1],[gene=coaE],[protein=Dephospho-CoA kinase],[locus_tag=PMT_2136],[protein_id=CAE22310.1],[gene=coaE],[protein=putative dephospho-CoA kinase],[evalue=2.55048E-73]
[locus_tag=Syncc8109_2595],[protein_id=AHF64902.1],[gene=gatB],"[protein=glutamyl-tRNA(Gln) amidotransferase, B subunit]",[locus_tag=PMT_2139],[protein_id=CAE22313.1],[gene=gatB],[protein=Glutamyl-tRNA(Gln) amidotransferase subunit B],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2596],[protein_id=AHF64903.1],[gene=thiO],[protein=putative thiamine biosynthesis oxidoreductase],[locus_tag=PMT_2140],[protein_id=CAE22314.1],[gene=thiO],[protein=PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE],[evalue=2.08267E-180],[locus_tag=PMT_2254],[protein_id=CAE22428.1],[gene=None],[protein=NAD binding site:D-amino acid oxidase],[evalue=1.41754E-13]
[locus_tag=Syncc8109_2597],[protein_id=AHF64904.1],[gene=None],[protein=Nucleoside-diphosphate kinase],[locus_tag=PMT_2148],[protein_id=CAE22322.1],[gene=None],[protein=Nucleoside diphosphate kinase],[evalue=9.97624E-96]
[locus_tag=Syncc8109_2598],[protein_id=AHF64905.1],[gene=None],[protein=arginine decarboxylase],[locus_tag=PMT_2150],[protein_id=CAE22324.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2:Arginine decarboxylase],[evalue=0.00000E+00],[locus_tag=PMT_1059],[protein_id=CAE21234.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[evalue=5.72871E-10]
[locus_tag=Syncc8109_2599],[protein_id=AHF64906.1],[gene=alaS],[protein=alanyl-tRNA synthetase],[locus_tag=PMT_2157],[protein_id=CAE22331.1],"[gene=alaS,lovB]",[protein=Alanyl-tRNA synthetase:DHHA1 domain],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2601],[protein_id=AHF64908.1],[gene=None],[protein=DEAD/DEAH box helicase-like protein],[locus_tag=PMT_2158],[protein_id=CAE22332.1],[gene=None],[protein=SNF2 related domain:DEAD/DEAH box helicase],[evalue=0.00000E+00],[locus_tag=PMT_0037],[protein_id=CAE20212.1],[gene=None],[protein=SWI/SNF family helicase_2],[evalue=1.27216E-21]
[locus_tag=Syncc8109_2602],[protein_id=AHF64909.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2159],[protein_id=CAE22333.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.19650E-159]
[locus_tag=Syncc8109_2603],[protein_id=AHF64910.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2160],[protein_id=CAE22334.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.41956E-54]
[locus_tag=Syncc8109_2607],[protein_id=AHF64914.1],[gene=fpaA],[protein=flavoprotein],[locus_tag=PMT_2164],[protein_id=CAE22338.1],[gene=None],[protein=Metallo-beta-lactamase superfamily:Flavin reductase-like domain],[evalue=0.00000E+00],[locus_tag=PMT_2165],[protein_id=CAE22339.1],[gene=None],[protein=Flavodoxin:Flavin reductase-like domain],[evalue=3.09403E-103],[locus_tag=PMT_0723],[protein_id=CAE20898.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.44860E-09]
[locus_tag=Syncc8109_2608],[protein_id=AHF64915.1],[gene=fpaA],[protein=putative flavoprotein],[locus_tag=PMT_2165],[protein_id=CAE22339.1],[gene=None],[protein=Flavodoxin:Flavin reductase-like domain],[evalue=0.00000E+00],[locus_tag=PMT_2164],[protein_id=CAE22338.1],[gene=None],[protein=Metallo-beta-lactamase superfamily:Flavin reductase-like domain],[evalue=4.75820E-107],[locus_tag=PMT_0723],[protein_id=CAE20898.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.91475E-11]
[locus_tag=Syncc8109_2610],[protein_id=AHF64917.1],[gene=None],[protein=rubrerythrin],[locus_tag=PMT_2166],[protein_id=CAE22340.1],[gene=None],[protein=Rubredoxin:Rubrerythrin:Rubredoxin-type Fe(Cys)4 protein],[evalue=9.01287E-76],[locus_tag=PMT_2883],[protein_id=CAX32402.1],[gene=None],[protein=Rubredoxin],[evalue=1.01066E-14],[locus_tag=PMT_1894],[protein_id=CAE22069.1],[gene=rub],[protein=probable rubredoxin],[evalue=2.43148E-08]
[locus_tag=Syncc8109_2611],[protein_id=AHF64918.1],[gene=None],[protein=putative reductase],[locus_tag=PMT_2167],[protein_id=CAE22341.1],[gene=None],[protein=possible reductase],[evalue=3.12373E-72]
[locus_tag=Syncc8109_2613],[protein_id=AHF64920.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2911],[protein_id=CAX32429.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.94477E-32]
[locus_tag=Syncc8109_2614],[protein_id=AHF64921.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2168],[protein_id=CAE22342.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.23284E-23]
[locus_tag=Syncc8109_2615],[protein_id=AHF64922.1],[gene=gcvP],[protein=glycine dehydrogenase],[locus_tag=PMT_2169],[protein_id=CAE22343.1],[gene=gcvP],[protein=Glycine cleavage system P-protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2616],[protein_id=AHF64923.1],[gene=gcsH],[protein=glycine cleavage system H protein],[locus_tag=PMT_2170],[protein_id=CAE22344.1],"[gene=gcsH, gcvH]",[protein=putative Glycine cleavage H-protein],[evalue=7.66635E-69]
[locus_tag=Syncc8109_2617],[protein_id=AHF64924.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2171],[protein_id=CAE22345.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2618],[protein_id=AHF64925.1],[gene=desC],[protein=Stearoyl-CoA 9-desaturase],[locus_tag=PMT_2172],[protein_id=CAE22346.1],[gene=desC],"[protein=Fatty acid desaturase, type 1]",[evalue=0.00000E+00],[locus_tag=PMT_2174],[protein_id=CAE22348.1],[gene=desC],"[protein=Fatty acid desaturase, type 1]",[evalue=1.70732E-101]
[locus_tag=Syncc8109_2619],[protein_id=AHF64926.1],[gene=rpl9],[protein=ribosomal protein L9],[locus_tag=PMT_2175],[protein_id=CAE22349.1],"[gene=rpl9, rplI]",[protein=50S ribosomal protein L9],[evalue=3.65957E-97]
[locus_tag=Syncc8109_2620],[protein_id=AHF64927.1],[gene=dnaB],[protein=replicative DNA helicase],[locus_tag=PMT_2176],[protein_id=CAE22350.1],[gene=dnaB],[protein=DnaB helicase:RecA bacterial DNA recombination protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2621],[protein_id=AHF64928.1],[gene=gidA],[protein=glucose inhibited division protein A],[locus_tag=PMT_2177],[protein_id=CAE22351.1],[gene=None],[protein=Glucose inhibited division protein A family],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2623],[protein_id=AHF64930.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2179],[protein_id=CAE22353.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.16157E-88]
[locus_tag=Syncc8109_2624],[protein_id=AHF64931.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2180],[protein_id=CAE22354.1],[gene=None],[protein=conserved hypothetical],[evalue=2.01074E-61]
[locus_tag=Syncc8109_2625],[protein_id=AHF64932.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2181],[protein_id=CAE22355.1],[gene=None],[protein=possible Viral (Superfamily 1) RNA helicase],[evalue=1.25220E-37]
[locus_tag=Syncc8109_2627],[protein_id=AHF64934.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2182],[protein_id=CAE22356.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.65897E-85]
[locus_tag=Syncc8109_2628],[protein_id=AHF64935.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2183],[protein_id=CAE22357.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.05949E-68]
[locus_tag=Syncc8109_2629],[protein_id=AHF64936.1],[gene=None],"[protein=DNA ligase, NAD-dependent]",[locus_tag=PMT_2184],[protein_id=CAE22358.1],[gene=None],[protein=NAD-dependent DNA ligase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2630],[protein_id=AHF64937.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2185],[protein_id=CAE22359.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03586E-21]
[locus_tag=Syncc8109_2631],[protein_id=AHF64938.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2186],[protein_id=CAE22360.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.49321E-98]
[locus_tag=Syncc8109_2632],[protein_id=AHF64939.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2188],[protein_id=CAE22362.1],[gene=None],"[protein=conserved membrane protein, multidrug efflux associated]",[evalue=7.02707E-134]
[locus_tag=Syncc8109_2633],[protein_id=AHF64940.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMT_2189],[protein_id=CAE22363.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=4.76084E-123]
